iter	Passed	Remaining
1543	39092	11545
1544	39120	11520
1545	39149	11496
1546	39171	11470
1547	39216	11450
1548	39238	11424
1549	39262	11398
1550	39309	11379
1551	39332	11353
1552	39357	11328
1553	39379	11302
1554	39403	11276
1555	39437	11253
1556	39469	11229
1557	39501	11206
1558	39523	11180
1559	39581	11163
1560	39603	11137
1561	39644	11116
1562	39667	11090
1563	39692	11065
1564	39715	11039
1565	39739	11013
1566	39761	10987
1567	39788	10962
1568	39869	10951
1569	39899	10927
1570	39962	10912
1571	39984	10886
1572	40009	10860
1573	40032	10834
1574	40055	10808
1575	40099	10788
1576	40130	10764
1577	40153	10738
1578	40178	10712
1579	40210	10688
1580	40239	10664
1581	40271	10640
1582	40296	10615
1583	40319	10588
1584	40349	10564
1585	40396	10544
1586	40419	10518
1587	40441	10492
1588	40476	10469
1589	40498	10443
1590	40524	10417
1591	40556	10393
1592	40586	10369
1593	40608	10343
1594	40633	10317
1595	40655	10291
1596	40676	10264
1597	40711	10241
1598	40732	10215
1599	40756	10189
1600	40805	10169
1601	40828	10143
1602	40852	10117
1603	40875	10091
1604	40900	10065
1605	40921	10039
1606	40944	10013
1607	40966	9986
1608	41008	9965
1609	41030	9939
1610	41069	9916
1611	41091	9890
1612	41114	9864
1613	41147	9840
1614	41171	9814
1615	41226	9796
1616	41249	9770
1617	41290	9748
1618	41322	9724
1619	41344	9698
1620	41383	9675
1621	41406	9649
1622	41431	9623
1623	41478	9603
1624	41509	9579
1625	41531	9552
1626	41555	9526
1627	41576	9500
1628	41603	9474
1629	41633	9450
1630	41658	9424
1631	41680	9398
1632	41701	9372
1633	41723	9345
1634	41745	9319
1635	41789	9297
1636	41811	9271
1637	41833	9245
1638	41855	9218
1639	41883	9193
1640	41906	9167
1641	41929	9141
1642	41959	9117
1643	41990	9092
1644	42022	9068
1645	42046	9042
1646	42070	9017
1647	42101	8992
1648	42123	8966
1649	42144	8939
1650	42181	8916
1651	42212	8892
1652	42235	8866
1653	42275	8843
1654	42298	8817
1655	42321	8791
1656	42343	8765
1657	42369	8739
1658	42390	8713
1659	42418	8688
1660	42450	8663
1661	42473	8637
1662	42542	8621
1663	42590	8599
1664	42621	8575
1665	42643	8549
